model_id,label,model_type,family,params_M,mflops_tok,hidden_size,n_layers_unique,max_iters,notes,ppl,avg10,arc_c,arc_e,boolq,copa,hella,obqa,piqa,sciq,wino,mmlu,gsm8k
v8_12x1_d768_helmholtz_dual_reversed_lr2e3,V8 HelmDR 12×1,EGPT,egpt,140,359,768,12,1,Helmholtz reversed,65.1463,43.52,23.208,42.298,53.945,57.0,28.57,27.2,60.229,68.9,50.276,23.594,1.137
v37_full_egrad_12x1_d768_lr2e3,V37 FullEGrad 12×1,EGrad,egrad,141,285,768,12,1,EGrad attn+MLP,37.7853,47.46,24.403,46.801,55.78,64.0,33.459,29.6,64.363,77.2,53.828,25.125,2.123
v38_full_egrad_24x1_d1024_lr1e3,V38 FullEGrad 24×1,EGrad,egrad,342,503,1024,24,1,,28.6507,49.76,28.669,52.062,58.746,63.0,39.703,31.6,66.594,80.0,52.644,24.605,1.44
v10_mixed_12x1_d768_lr2e3,V10 Mixed 12×1,MixH,mixhead,144,285,768,12,1,6E+6G heads,36.9924,46.73,25.512,46.759,56.483,57.0,33.44,27.4,65.397,76.9,52.723,25.709,1.516
v11_mixed_6x2_d768_lr2e3,V11 Mixed 6×2,MixH,mixhead,118,314,768,6,2,,40.6727,46.69,24.488,45.244,58.624,61.0,32.264,29.4,63.439,75.7,51.776,24.939,1.365
v13_mixed_8e4g_12x1_d768_lr2e3,V13 Mixed 8E+4G 12×1,MixH,mixhead,144,285,768,12,1,8E+4G heads,37.9362,46.41,24.403,48.064,51.713,61.0,33.26,30.4,63.33,78.0,49.329,24.647,1.668
v14_mixed_10e2g_12x1_d768_lr2e3,V14 Mixed 10E+2G 12×1,MixH,mixhead,144,285,768,12,1,,39.5083,46.83,25.683,46.633,56.544,60.0,32.603,29.4,64.309,75.7,51.618,25.815,1.592
v15_energy_grad_mixed_12x1_d768_lr2e3,V15 EGrad-MixH 12×1,MixH,mixhead,144,285,768,12,1,true EGrad output,36.9603,47.46,24.829,47.433,59.541,60.0,33.469,30.4,64.908,78.6,50.592,24.868,2.578
v16_mixed_energy_descent_12x1_d768_lr2e3,V16 EDesc-MixH 12×1,MixH,mixhead,144,285,768,12,1,EDesc output,36.9777,46.81,24.829,47.264,58.379,57.0,33.937,30.0,63.711,77.2,52.092,23.672,2.199
v17_energy_grad_6x2_d768_lr2e3,V17 EGrad-MixH 6×2,MixH,mixhead,118,314,768,6,2,,40.6633,46.58,23.208,45.286,60.734,59.0,31.926,30.6,63.33,76.1,50.987,24.647,1.971
